,combo 1,combo 1,combo 2,combo 2
,M,V,M,V
x,,,,
0.0,0.0,4.9013671875,0.0,7.65625
0.1,0.47413671875,4.5813671875,0.743125,7.20625
0.2,0.9162734375,4.261367187499999,1.44125,6.75625
0.30000000000000004,1.3264101562500001,3.9413671875,2.0943750000000003,6.30625
0.4,1.7045468750000001,3.6213671874999998,2.7024999999999997,5.85625
0.5,2.05068359375,3.3013671875,3.265625,5.40625
0.6000000000000001,2.3648203125000005,2.9813671874999996,3.7837500000000004,4.95625
0.7000000000000001,2.64695703125,2.6613671875,4.256875000000001,4.50625
0.8,2.89709375,2.3413671874999995,4.685,4.05625
0.9,3.11523046875,2.0213671874999997,5.068125,3.60625
1.0,3.3013671875,1.7013671874999998,5.40625,3.15625
1.1,3.45550390625,1.3813671874999995,5.699375,2.70625
1.2000000000000002,3.5776406250000004,1.0613671874999993,5.947500000000001,2.2562499999999996
1.3,3.667777343749999,0.7413671874999999,6.150625,1.8062499999999995
1.4000000000000001,3.7259140624999993,0.4213671874999996,6.308750000000001,1.3562499999999993
1.5,3.75205078125,0.10136718749999929,6.421875,0.90625
1.6,3.7461874999999996,-0.218632812500001,6.489999999999998,0.4562499999999998
1.7000000000000002,3.7083242187499996,-0.5386328125000013,6.5131250000000005,0.006249999999999645
1.8,3.6384609374999997,-0.8586328125000007,6.491249999999999,-0.44374999999999964
1.9000000000000001,3.5365976562499997,-1.178632812500001,6.424375000000001,-0.8937500000000007
2.0,3.4027343749999996,-1.4986328125000004,6.3125,-1.34375
2.1,3.2368710937499987,-1.8186328125000006,6.155625000000001,-1.793750000000001
2.2,3.0390078124999995,-2.138632812500001,5.953749999999998,-2.2437500000000004
2.3000000000000003,2.8091445312499985,-2.458632812500001,5.706875000000002,-2.6937500000000014
2.4000000000000004,2.5472812499999993,-2.7786328125000015,5.414999999999999,-3.1437500000000007
2.5,2.25341796875,-3.0986328125,5.078125,-3.59375
2.6,1.9275546874999971,-3.4186328125000003,4.696249999999999,-4.043750000000001
2.7,1.5696914062499996,-3.7386328125000006,4.269374999999997,-4.49375
2.8000000000000003,1.1798281249999967,-4.058632812500001,3.7974999999999994,-4.943750000000001
2.9000000000000004,0.7579648437499991,-4.378632812500001,3.2806250000000006,-5.393750000000001
3.0,0.30410156249999964,-4.698632812500001,2.71875,-5.84375
3.1,-0.18176171875000335,-5.018632812500002,2.1118749999999977,-6.293750000000001
3.2,-0.6996250000000028,-5.338632812500002,1.4599999999999937,-6.74375
3.3000000000000003,-1.2494882812500023,-5.658632812500002,0.7631249999999987,-7.193750000000001
3.4000000000000004,-1.8313515625000036,-5.978632812500003,0.021249999999998437,-7.643750000000001
3.5,-2.4452148437500014,-6.298632812500001,-0.765625,-8.09375
3.6,-3.091078125000003,-6.618632812500001,-1.5975000000000037,-8.54375
3.7,-3.768941406250004,-6.938632812500002,-2.474375000000002,-8.993750000000002
3.8000000000000003,-4.478804687500002,-7.258632812500002,-3.3962499999999984,-9.443750000000001
3.9000000000000004,-5.2206679687500035,-7.578632812500002,-4.363125,-9.89375
4.0,-5.994531250000001,-7.898632812500001,-5.375,-10.34375
4.0,-5.99453125,12.44890625,-5.375000000000001,9.075000000000001
4.1,-4.772140625,11.998906250000001,-4.483500000000001,8.755
4.2,-3.5947499999999994,11.54890625,-3.6240000000000006,8.435
4.3,-2.462359374999999,11.09890625,-2.7965000000000004,8.115
4.4,-1.3749687499999999,10.64890625,-2.0010000000000003,7.795000000000001
4.5,-0.3325781249999995,10.19890625,-1.2375000000000007,7.475000000000001
4.6,0.6648125000000009,9.748906250000001,-0.5060000000000002,7.155000000000001
4.7,1.6172031250000005,9.29890625,0.19350000000000023,6.835000000000001
4.8,2.52459375,8.84890625,0.8610000000000007,6.515000000000001
4.9,3.386984375000001,8.39890625,1.4964999999999993,6.195
5.0,4.204375000000001,7.94890625,2.0999999999999996,5.875000000000001
5.1,4.976765625000002,7.49890625,2.6715,5.555000000000001
5.2,5.704156250000002,7.04890625,3.2110000000000003,5.235
5.3,6.3865468750000005,6.59890625,3.7185000000000006,4.915000000000001
5.4,7.023937499999999,6.14890625,4.193999999999999,4.595000000000001
5.5,7.616328125000001,5.69890625,4.637499999999999,4.275
5.6,8.16371875,5.24890625,5.049000000000001,3.955
5.7,8.666109375000003,4.79890625,5.428500000000001,3.635
5.8,9.1235,4.348906250000001,5.776,3.3150000000000004
5.9,9.535890625,3.8989062499999996,6.091500000000002,2.995
6.0,9.903281250000001,3.4489062500000003,6.375,2.6750000000000007
6.1,10.225671875000002,2.998906249999999,6.626500000000004,2.3550000000000004
6.2,10.503062500000002,2.54890625,6.846,2.035
6.300000000000001,10.735453125000003,2.098906249999999,7.033500000000004,1.7149999999999999
6.4,10.922843750000002,1.6489062499999996,7.189,1.3949999999999996
6.5,11.065234375,1.1989062500000003,7.3125000000000036,1.075000000000001
6.6,11.162624999999998,0.7489062499999992,7.404,0.7550000000000008
6.7,11.215015625,0.29890624999999993,7.463500000000003,0.4350000000000005
6.800000000000001,11.222406249999999,-0.15109375000000114,7.491,0.11500000000000021
6.9,11.184796875000004,-0.6010937500000004,7.486500000000003,-0.20500000000000007
7.0,11.1021875,-1.0510937499999997,7.449999999999999,-0.5250000000000004
7.1,10.974578125,-1.5010937500000008,7.381499999999999,-0.8450000000000006
7.2,10.801968749999993,-1.95109375,7.281000000000002,-1.165000000000001
7.300000000000001,10.584359374999998,-2.401093750000001,7.148500000000002,-1.4850000000000012
7.4,10.321750000000002,-2.8510937500000004,6.984000000000002,-1.8050000000000015
